placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
68,83,2022-02-03,2,2,2021-2022,Caxias do Sul Basquete,Sesi Franca,73.5,24.45,37.4,11.65,32.55,7.35,25.2,15.8,14.1,1.142,8.15,24.05,33.318,18.7,36.95,50.831,11.65,16.35,70.31400000000001,1.75,6.55,0.47300000000000003,3.1,19.8,0.15499999999999997,14.1,2.55,78.55,92.701,37.95,39.801,14.95,41.898999999999994,10.85,31.048999999999996,16.449,13.449000000000002,1.26,12.65,32.801,38.24300000000001,19.899,32.45100000000001,61.70399999999999,14.95,18.151,83.225,2.351,5.85,0.45100000000000007,3.4489999999999994,15.9,0.246,13.449000000000002,2.101,111.00099999999998
84,75,2022-02-03,2,2,2021-2022,União Corinthians,Rio Claro,75.15,21.75,38.9,14.5,37.0,10.3,26.7,14.6,13.3,1.207,7.25,26.35,27.613000000000007,19.45,39.6,49.349,14.5,20.5,71.702,2.3,8.75,0.7060000000000001,2.55,19.8,0.136,13.3,2.0,79.5,77.9,22.5,39.6,15.8,35.3,11.2,24.1,14.3,12.6,1.188,7.5,28.5,25.101,19.8,36.4,54.293000000000006,15.8,21.0,74.705,1.5,7.6,0.6359999999999999,1.4,24.3,0.061,12.6,2.7,81.1
81,71,2022-02-03,2,2,2021-2022,Corinthians,Paulistano,78.2,33.0,34.6,10.6,39.7,12.4,27.3,17.1,11.2,1.536,11.0,31.4,35.879,17.3,33.8,51.391999999999996,10.6,14.9,72.155,1.2,6.3,0.569,2.1,19.0,0.10100000000000002,11.2,2.8,91.0,78.8,25.8,40.2,12.8,39.4,10.5,28.9,14.9,14.4,1.073,8.6,25.7,33.681,20.1,39.7,50.56600000000001,12.8,17.3,72.71399999999998,1.2,7.0,0.48600000000000004,2.3,20.3,0.11699999999999999,14.4,3.4,86.8
74,68,2022-02-04,2,2,2021-2022,Bauru Basket,Cerrado,77.1,31.5,35.2,10.4,33.4,8.3,25.1,17.7,10.8,1.702,10.5,29.8,35.213,17.6,34.1,51.650999999999996,10.4,15.3,68.226,1.6,7.0,0.654,1.6,19.1,0.09,10.8,1.7,85.3,78.7,29.7,40.0,9.0,38.1,11.1,27.0,16.6,13.8,1.2899999999999998,9.9,32.8,29.805,20.0,38.8,51.311,9.0,12.7,72.63300000000001,2.8,6.5,0.507,3.4,19.0,0.178,13.8,2.4,84.1
77,117,2022-02-05,2,2,2021-2022,Mogi,Flamengo,73.35,26.25,36.4,10.7,37.85,10.9,26.95,18.15,17.6,1.097,8.75,28.4,31.110999999999997,18.2,34.25,53.254000000000005,10.7,16.25,65.351,2.85,7.15,0.45600000000000007,1.9,18.3,0.10400000000000001,17.6,3.4,79.55,90.2,40.35,37.9,11.95,43.0,10.6,32.4,22.15,13.55,1.8189999999999997,13.45,35.1,38.819,18.95,31.05,61.858000000000004,11.95,15.75,76.538,1.85,6.05,0.501,2.55,14.6,0.183,13.55,1.85,112.85
88,70,2022-02-05,2,2,2021-2022,São Paulo,UNIFACISA,85.8,35.4,36.4,14.0,34.2,6.4,27.8,17.9,11.3,1.682,11.8,30.5,38.94,18.2,31.2,58.335,14.0,18.7,75.151,2.1,6.9,0.6310000000000001,2.1,17.7,0.121,11.3,2.4,99.2,80.45,30.45,38.4,11.6,36.25,10.15,26.1,14.25,11.15,1.3190000000000002,10.15,28.15,34.796,19.2,37.55,51.394000000000005,11.6,15.65,73.645,1.4,7.95,0.768,1.2,20.0,0.05800000000000001,11.15,1.65,88.55
89,85,2022-02-05,2,2,2021-2022,União Corinthians,Sesi Franca,76.7,21.0,40.6,15.1,37.1,11.5,25.6,15.3,11.9,1.318,7.0,25.4,27.675,20.3,41.7,48.635,15.1,21.6,71.248,2.4,8.2,0.6980000000000001,2.1,20.8,0.10900000000000001,11.9,1.9,81.2,92.301,36.9,39.601000000000006,15.8,41.199,11.0,30.198999999999995,15.899000000000001,13.399000000000001,1.217,12.3,32.301,37.64200000000001,19.799,32.501000000000005,61.273,15.8,18.901,84.606,2.401,5.8,0.44800000000000006,3.599,15.9,0.254,13.399000000000001,2.001,109.601
70,101,2022-02-06,2,2,2021-2022,Pato Basquete,Minas,75.5,33.9,30.4,11.2,38.3,11.5,26.8,12.8,13.0,1.014,11.3,29.3,37.94,15.2,35.4,43.15400000000001,11.2,16.6,68.224,1.5,7.0,0.532,2.5,20.7,0.128,13.0,3.1,79.5,87.9,35.1,40.2,12.6,40.2,10.6,29.6,17.6,11.9,1.574,11.7,30.4,38.645,20.1,34.5,58.293000000000006,12.6,18.3,69.071,3.0,7.1,0.622,2.2,16.5,0.134,11.9,2.2,104.3
73,62,2022-02-07,3,2,2021-2022,São Paulo,Fortaleza B. C. / CFO,84.5,34.8,34.4,15.3,35.6,7.35,28.25,16.9,11.65,1.5399999999999998,11.6,29.9,39.035999999999994,17.2,30.95,55.318999999999996,15.3,20.35,74.94,1.85,6.85,0.609,2.45,17.9,0.14,11.65,2.4,97.55,76.9,21.75,41.567,13.583000000000002,39.433,10.717,28.717000000000002,13.566999999999998,13.9,1.034,7.25,25.767000000000003,28.276,20.782999999999998,42.567,49.55,13.583000000000002,20.317,64.911,1.233,5.9,0.442,2.3329999999999997,20.232999999999997,0.121,13.9,2.7329999999999997,77.2
78,79,2022-02-07,3,2,2021-2022,BRB/Brasília,Caxias do Sul Basquete,75.834,22.85,38.734,14.25,42.284000000000006,13.815999999999999,28.465999999999998,14.266,16.15,0.9299999999999999,7.616,25.15,30.035000000000004,19.366,39.2,49.36,14.25,21.166,65.477,1.166,6.066,0.377,2.134,19.366,0.11299999999999999,16.15,2.784,80.15,72.5,23.1,38.4,11.0,32.65,7.35,25.3,16.25,14.05,1.198,7.7,23.05,32.876999999999995,19.2,37.9,50.965999999999994,11.0,16.0,68.062,1.7,6.3,0.45099999999999996,3.25,19.4,0.16599999999999998,14.05,2.6,77.85
