placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
64,73,2022-04-19,1,3,2021-2022,Caxias do Sul Basquete,UNIFACISA,64.8,23.1,32.8,8.9,33.8,8.5,25.3,14.6,14.8,1.003,7.7,26.7,29.385,16.4,34.1,48.033,8.9,13.5,67.24600000000001,0.3,7.2,0.48099999999999987,1.8,20.7,0.09,14.8,2.8,66.1,74.0,28.8,34.8,10.4,36.7,11.2,25.5,14.2,13.2,1.097,9.6,28.8,32.697,17.4,35.8,48.29299999999999,10.4,13.9,75.63,1.4,8.3,0.6520000000000001,1.7,18.5,0.08700000000000001,13.2,2.2,80.6
72,63,2022-04-19,1,3,2021-2022,Pato Basquete,Bauru Basket,75.0,25.2,36.4,13.4,35.0,9.7,25.3,12.4,14.6,0.925,8.4,29.1,28.526999999999997,18.2,35.7,50.971,13.4,18.0,75.104,2.5,7.5,0.567,1.0,20.1,0.053000000000000005,14.6,3.9,73.5,81.9,35.1,34.8,12.0,34.7,7.8,26.9,16.5,12.0,1.4580000000000002,11.7,30.6,37.65,17.4,32.8,53.217000000000006,12.0,15.4,76.51599999999999,0.5,8.1,0.6930000000000001,1.0,19.4,0.051000000000000004,12.0,3.5,92.5
67,65,2022-04-20,1,3,2021-2022,Rio Claro,Paulistano,78.1,24.0,39.6,14.5,35.9,11.5,24.4,14.7,12.0,1.263,8.0,23.5,34.265,19.8,40.5,49.397000000000006,14.5,19.6,72.77499999999999,1.8,5.8,0.49899999999999994,1.8,21.0,0.083,12.0,2.4,83.0,80.234,27.1,40.068,13.067000000000002,38.366,10.933,27.432,14.866000000000003,13.068000000000001,1.344,9.032,26.167,33.818,20.032,38.567,51.830000000000005,13.067000000000002,17.699,71.789,2.068,7.0680000000000005,0.655,1.8,19.767000000000003,0.091,13.068000000000001,2.2670000000000003,88.968
78,80,2022-04-20,1,3,2021-2022,Corinthians,Pinheiros,74.9,30.9,33.6,10.4,39.0,12.3,26.7,15.4,14.2,1.1729999999999996,10.3,28.7,35.607,16.8,34.2,49.206,10.4,14.5,71.82399999999998,1.4,4.6,0.32599999999999996,2.1,18.5,0.11000000000000001,14.2,3.5,81.9,81.69900000000001,28.2,42.2,11.299,39.199,12.7,26.498999999999995,17.898999999999994,13.0,1.4060000000000001,9.399,27.598999999999997,34.509,21.1,41.6,50.893,11.299,15.799000000000003,70.28200000000001,2.0989999999999993,7.2989999999999995,0.5640000000000001,2.5,16.500999999999998,0.143,13.0,2.2010000000000005,92.39900000000002
81,67,2022-04-22,2,3,2021-2022,UNIFACISA,Caxias do Sul Basquete,72.4,27.3,34.5,10.6,37.25,11.5,25.75,13.7,13.45,1.052,9.1,27.95,32.219,17.25,36.1,47.525999999999996,10.6,14.35,74.477,1.3,8.15,0.6340000000000001,1.25,18.7,0.06600000000000002,13.45,2.25,77.85,64.5,25.05,31.0,8.45,32.95,7.95,25.0,14.0,15.35,0.9480000000000001,8.35,27.35,30.951999999999998,15.5,32.4,47.631,8.45,13.55,63.152,0.3,6.95,0.457,1.6,20.6,0.081,15.35,2.95,63.65
82,71,2022-04-22,2,3,2021-2022,Bauru Basket,Pato Basquete,78.0,32.7,34.4,10.9,35.1,7.5,27.6,15.6,12.1,1.355,10.9,30.2,35.24,17.2,33.1,52.059000000000005,10.9,14.2,76.241,0.3,8.1,0.687,0.9,18.6,0.049,12.1,3.2,87.1,74.45,24.75,36.5,13.2,37.0,10.2,26.8,12.3,14.5,0.9269999999999999,8.25,30.4,26.859,18.25,35.0,52.181999999999995,13.2,17.95,74.02899999999998,2.45,7.4,0.563,1.2,19.55,0.064,14.5,3.7,74.2
89,78,2022-04-23,2,3,2021-2022,Pinheiros,Corinthians,80.49900000000001,26.4,42.2,11.899,38.099,12.1,25.998999999999995,17.499000000000002,13.4,1.31,8.799,26.398999999999994,34.092000000000006,21.1,40.9,51.712,11.899,16.099,73.116,2.099,7.499,0.562,2.7,16.601,0.156,13.4,2.4010000000000007,91.299,74.7,29.1,35.0,10.6,38.4,12.1,26.3,15.6,15.1,1.0659999999999996,9.7,27.5,35.19,17.5,34.4,50.79299999999999,10.6,14.7,72.45899999999999,1.4,5.0,0.32299999999999995,1.7,19.0,0.085,15.1,3.7,81.5
90,84,2022-04-23,2,3,2021-2022,Paulistano,Rio Claro,78.46700000000001,25.2,40.801,12.467,38.033,10.533,27.499000000000002,14.732999999999999,13.001,1.3400000000000003,8.399000000000001,25.167,32.723,20.399,38.467,52.972,12.467,16.966,71.289,2.101,6.5009999999999994,0.6140000000000001,1.6,19.367,0.083,13.001,2.467,87.001,77.0,22.65,40.2,14.15,34.95,10.95,24.0,14.05,11.1,1.286,7.55,23.35,31.801000000000005,20.1,40.05,50.636,14.15,18.4,75.715,2.05,5.5,0.5039999999999999,1.5,20.65,0.07,11.1,2.25,81.9
88,79,2022-04-24,3,3,2021-2022,Bauru Basket,Pato Basquete,79.7,32.85,35.4,11.45,35.2,7.65,27.55,16.05,11.9,1.416,10.95,30.0,35.668,17.7,33.35,53.224000000000004,11.45,14.9,76.519,0.5,7.5,0.6460000000000001,1.0,18.4,0.05700000000000001,11.9,2.85,89.4,73.8,24.6,36.6,12.6,37.6,10.4,27.2,12.5,14.7,0.924,8.2,31.3,25.725000000000005,18.3,34.2,53.589999999999996,12.6,17.3,72.95399999999998,2.6,7.5,0.5609999999999999,1.4,19.1,0.075,14.7,3.7,74.4
68,64,2022-04-25,3,3,2021-2022,Paulistano,Rio Claro,79.2,24.2,41.734,13.267000000000001,37.6,10.333,27.266,15.1,12.134,1.608,8.065999999999999,24.467000000000002,32.561,20.866,38.567,54.08400000000002,13.267000000000001,18.032999999999998,71.289,2.234,7.134,0.825,1.7,19.267000000000003,0.088,12.134,2.2670000000000003,89.73400000000001,77.6,24.0,39.2,14.4,34.6,10.9,23.7,14.0,11.1,1.283,8.0,24.3,32.16100000000001,19.6,38.4,51.538,14.4,18.1,77.63,2.1,5.2,0.485,1.4,21.0,0.06400000000000002,11.1,1.8,82.9
