Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
128-1,2008-2009,0.83,-,0.83,-
128-1,2009-2010,0.71,-,0.71,-
128-1,2011-2012,0.77,-,0.77,-
128-1,2012-2013,0.75,-,0.75,-
128-1,2013-2014,0.79,-,0.79,-
128-1,2014-2015,0.76,-,0.76,-
128-1,2015-2016,0.76,-,0.76,-
128-1,2016-2017,0.76,-,0.76,-
128-1,2018-2019,0.74,-,0.74,-
128-1,2019-2020,0.77,-,0.77,-
128-1,2020-2021,0.84,-,0.84,-
128-1,2021-2022,0.83,-,0.83,-
128-1,2022-2023,0.79,-,0.79,-
128-1,2023-2024,0.80,-,0.80,-
128-1,-,0.78,0.04,0.78,0.04
128-2,2008-2009,0.83,-,0.82,-
128-2,2009-2010,0.68,-,0.69,-
128-2,2011-2012,0.77,-,0.76,-
128-2,2012-2013,0.77,-,0.76,-
128-2,2013-2014,0.76,-,0.76,-
128-2,2014-2015,0.77,-,0.76,-
128-2,2015-2016,0.76,-,0.74,-
128-2,2016-2017,0.76,-,0.75,-
128-2,2018-2019,0.73,-,0.74,-
128-2,2019-2020,0.78,-,0.79,-
128-2,2020-2021,0.85,-,0.85,-
128-2,2021-2022,0.83,-,0.82,-
128-2,2022-2023,0.79,-,0.80,-
128-2,2023-2024,0.80,-,0.80,-
128-2,-,0.78,0.04,0.77,0.04
128-3,2008-2009,0.82,-,0.82,-
128-3,2009-2010,0.67,-,0.67,-
128-3,2011-2012,0.78,-,0.76,-
128-3,2012-2013,0.76,-,0.75,-
128-3,2013-2014,0.76,-,0.76,-
128-3,2014-2015,0.77,-,0.77,-
128-3,2015-2016,0.76,-,0.74,-
128-3,2016-2017,0.75,-,0.74,-
128-3,2018-2019,0.74,-,0.74,-
128-3,2019-2020,0.79,-,0.80,-
128-3,2020-2021,0.85,-,0.85,-
128-3,2021-2022,0.82,-,0.80,-
128-3,2022-2023,0.79,-,0.79,-
128-3,2023-2024,0.81,-,0.80,-
128-3,-,0.78,0.04,0.77,0.04
128-4,2008-2009,0.82,-,0.82,-
128-4,2009-2010,0.67,-,0.67,-
128-4,2011-2012,0.78,-,0.76,-
128-4,2012-2013,0.77,-,0.76,-
128-4,2013-2014,0.76,-,0.76,-
128-4,2014-2015,0.78,-,0.78,-
128-4,2015-2016,0.76,-,0.74,-
128-4,2016-2017,0.74,-,0.74,-
128-4,2018-2019,0.74,-,0.73,-
128-4,2019-2020,0.79,-,0.80,-
128-4,2020-2021,0.85,-,0.85,-
128-4,2021-2022,0.81,-,0.79,-
128-4,2022-2023,0.79,-,0.79,-
128-4,2023-2024,0.80,-,0.80,-
128-4,-,0.78,0.04,0.77,0.04
128-6,2008-2009,0.81,-,0.81,-
128-6,2009-2010,0.68,-,0.67,-
128-6,2011-2012,0.77,-,0.75,-
128-6,2012-2013,0.77,-,0.76,-
128-6,2013-2014,0.76,-,0.75,-
128-6,2014-2015,0.79,-,0.78,-
128-6,2015-2016,0.76,-,0.75,-
128-6,2016-2017,0.75,-,0.74,-
128-6,2018-2019,0.75,-,0.73,-
128-6,2019-2020,0.79,-,0.80,-
128-6,2020-2021,0.85,-,0.85,-
128-6,2021-2022,0.80,-,0.78,-
128-6,2022-2023,0.80,-,0.79,-
128-6,2023-2024,0.80,-,0.79,-
128-6,-,0.78,0.04,0.77,0.04
128-8,2008-2009,0.81,-,0.80,-
128-8,2009-2010,0.67,-,0.66,-
128-8,2011-2012,0.77,-,0.75,-
128-8,2012-2013,0.77,-,0.76,-
128-8,2013-2014,0.76,-,0.76,-
128-8,2014-2015,0.79,-,0.78,-
128-8,2015-2016,0.76,-,0.75,-
128-8,2016-2017,0.75,-,0.74,-
128-8,2018-2019,0.75,-,0.73,-
128-8,2019-2020,0.79,-,0.79,-
128-8,2020-2021,0.85,-,0.85,-
128-8,2021-2022,0.79,-,0.78,-
128-8,2022-2023,0.80,-,0.79,-
128-8,2023-2024,0.80,-,0.79,-
128-8,-,0.78,0.04,0.77,0.04
128-16,2008-2009,0.81,-,0.80,-
128-16,2009-2010,0.67,-,0.65,-
128-16,2011-2012,0.79,-,0.77,-
128-16,2012-2013,0.76,-,0.75,-
128-16,2013-2014,0.76,-,0.75,-
128-16,2014-2015,0.80,-,0.80,-
128-16,2015-2016,0.75,-,0.74,-
128-16,2016-2017,0.76,-,0.75,-
128-16,2018-2019,0.75,-,0.74,-
128-16,2019-2020,0.79,-,0.79,-
128-16,2020-2021,0.84,-,0.84,-
128-16,2021-2022,0.79,-,0.77,-
128-16,2022-2023,0.79,-,0.79,-
128-16,2023-2024,0.79,-,0.79,-
128-16,-,0.77,0.04,0.77,0.04
128-32,2008-2009,0.79,-,0.78,-
128-32,2009-2010,0.69,-,0.66,-
128-32,2011-2012,0.75,-,0.72,-
128-32,2012-2013,0.75,-,0.74,-
128-32,2013-2014,0.76,-,0.75,-
128-32,2014-2015,0.80,-,0.79,-
128-32,2015-2016,0.73,-,0.72,-
128-32,2016-2017,0.76,-,0.75,-
128-32,2018-2019,0.73,-,0.72,-
128-32,2019-2020,0.79,-,0.79,-
128-32,2020-2021,0.85,-,0.85,-
128-32,2021-2022,0.78,-,0.78,-
128-32,2022-2023,0.78,-,0.78,-
128-32,2023-2024,0.79,-,0.78,-
128-32,-,0.77,0.04,0.76,0.04
