placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
96,69,2022-04-13,11,2,2021-2022,São Paulo,Rio Claro,87.6,31.2,41.2,15.2,37.3,8.1,29.2,19.0,10.6,1.8409999999999997,10.4,28.9,35.897,20.6,33.3,61.912,15.2,20.4,75.222,2.9,6.8,0.6539999999999999,2.7,18.7,0.13999999999999999,10.6,1.1,106.4,78.9,23.85,39.8,15.25,36.15,11.25,24.9,14.8,11.9,1.278,7.95,23.25,34.39300000000001,19.9,39.8,50.392,15.25,20.0,75.672,1.8,5.95,0.514,1.9,21.1,0.088,11.9,2.8,85.85
75,77,2022-04-13,11,2,2021-2022,Fortaleza B. C. / CFO,Cerrado,76.3,22.2,41.0,13.1,36.3,11.0,25.3,14.4,13.0,1.105,7.4,25.6,29.416999999999994,20.5,39.8,52.047000000000004,13.1,21.9,59.935,1.4,7.9,0.634,2.2,19.7,0.11299999999999999,13.0,3.2,77.8,76.6,21.75,40.2,14.65,43.2,12.6,30.6,14.75,11.15,1.366,7.25,26.15,28.004,20.1,41.05,49.282,14.65,20.4,70.574,1.85,4.4,0.4050000000000001,3.25,17.9,0.182,11.15,2.35,85.45
80,92,2022-04-14,11,2,2021-2022,Bauru Basket,Flamengo,79.65,33.0,34.6,12.05,34.55,7.55,27.0,15.7,12.35,1.3430000000000002,11.0,30.1,35.925,17.3,32.75,53.0,12.05,15.6,75.83500000000001,0.65,7.9,0.6599999999999999,1.1,18.7,0.059,12.35,3.6,88.45,83.999,40.8,29.998999999999995,13.2,39.9,11.899,28.001000000000005,16.8,10.8,1.582,13.600999999999999,39.29899999999999,34.431,15.001,27.901000000000003,53.501,13.2,17.0,76.775,1.401,5.3,0.4920000000000001,3.3010000000000006,17.801,0.19,10.8,1.9009999999999998,96.09900000000002
83,93,2022-04-14,11,2,2021-2022,Pinheiros,Minas,82.033,27.4,42.8,11.833,40.533,13.3,27.232999999999997,17.532999999999998,13.3,1.3519999999999999,9.133,27.232999999999997,34.057,21.4,40.9,52.673,11.833,16.733,69.422,2.3329999999999997,5.933,0.45200000000000007,2.2,16.467000000000002,0.127,13.3,2.967,92.433,81.4,28.5,38.3,14.6,35.85,9.7,26.15,16.05,13.95,1.176,9.5,27.15,34.709999999999994,19.15,33.05,57.952999999999996,14.6,17.65,83.04199999999999,2.85,5.35,0.388,2.05,18.4,0.11300000000000002,13.95,2.45,92.15
61,54,2022-04-14,11,2,2021-2022,Caxias do Sul Basquete,Paulistano,67.0,22.5,34.8,9.7,33.2,8.1,25.1,15.5,13.7,1.2209999999999999,7.5,25.5,30.157000000000004,17.4,36.0,48.303,9.7,14.8,66.46200000000002,0.2,6.4,0.46699999999999997,2.3,20.4,0.12000000000000002,13.7,2.7,69.0,78.434,27.1,38.768,12.567,38.566,11.333,27.232,14.916,13.118,1.346,9.032,26.767000000000003,33.234,19.381999999999998,38.017,50.519000000000005,12.567,17.099,71.43199999999999,2.118,6.718000000000001,0.637,1.95,19.317,0.10200000000000001,13.118,2.117,86.56800000000001
55,74,2022-04-14,11,2,2021-2022,União Corinthians,Corinthians,74.7,26.85,36.9,10.95,37.6,10.45,27.15,15.5,12.7,1.287,8.95,30.0,29.605,18.45,38.25,48.547,10.95,16.5,67.60599999999998,1.4,6.1,0.5130000000000001,2.55,21.75,0.11700000000000002,12.7,1.5,77.35,76.2,30.9,35.8,9.5,39.8,12.4,27.4,16.5,14.0,1.255,10.3,29.1,35.199,17.9,36.4,49.206,9.5,13.2,73.066,1.1,4.2,0.304,2.3,18.7,0.12,14.0,2.8,84.0
75,65,2022-04-15,11,2,2021-2022,UNIFACISA,Cerrado,74.3,29.1,34.4,10.8,36.85,10.8,26.05,14.15,13.85,1.051,9.7,28.6,33.315,17.2,34.65,49.558,10.8,14.4,75.859,1.35,8.0,0.6000000000000001,1.85,18.45,0.097,13.85,2.4,81.35,77.0,22.5,40.3,14.2,42.45,11.9,30.55,14.75,11.7,1.34,7.5,25.5,29.71,20.15,41.1,49.347,14.2,20.0,69.328,1.9,4.55,0.399,3.2,17.85,0.18,11.7,2.35,85.5
77,65,2022-04-15,11,2,2021-2022,Fortaleza B. C. / CFO,BRB/Brasília,76.3,21.9,42.2,12.2,36.0,10.6,25.4,14.2,13.4,1.06,7.3,25.5,29.133,21.1,39.85,53.459,12.2,20.5,59.181,1.4,8.3,0.641,2.55,19.8,0.13099999999999998,13.4,3.25,78.7,80.55,28.65,38.5,13.4,38.7,10.3,28.4,14.3,13.3,1.1320000000000001,9.55,27.55,34.63099999999999,19.25,36.75,52.8,13.4,19.35,69.045,0.5,6.0,0.47400000000000003,1.6,19.7,0.083,13.3,2.95,86.4
66,81,2022-04-16,11,2,2021-2022,São Paulo,Sesi Franca,86.45,29.7,41.5,15.25,38.15,8.0,30.15,18.5,11.05,1.748,9.9,28.3,34.89,20.75,33.55,61.90899999999999,15.25,20.6,74.71499999999999,2.65,6.65,0.627,2.65,18.7,0.13799999999999998,11.05,1.0,104.8,87.9,27.9,46.4,13.6,38.6,10.0,28.6,17.6,8.5,2.275,9.3,28.5,32.276,23.2,39.6,59.035000000000004,13.6,17.7,77.723,3.6,5.3,0.6950000000000001,1.7,17.3,0.10599999999999998,8.5,1.3,102.9
57,62,2022-04-16,11,2,2021-2022,Caxias do Sul Basquete,Corinthians,65.9,22.8,33.8,9.3,33.5,8.3,25.2,15.05,14.25,1.112,7.6,26.1,29.770999999999997,16.9,35.05,48.168,9.3,14.15,66.85400000000001,0.25,6.8,0.4739999999999999,2.05,20.55,0.10500000000000001,14.25,2.75,67.55,75.55,30.9,34.7,9.95,39.4,12.35,27.05,15.95,14.1,1.214,10.3,28.9,35.403000000000006,17.35,35.3,49.206,9.95,13.85,72.44500000000001,1.25,4.4,0.315,2.2,18.6,0.11500000000000002,14.1,3.15,82.95
