placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
83,76,2009-03-25,1,2,2008-2009,Lajeado,Coop/São José Basketball,74.1,16.5,40.8,16.8,27.2,9.9,17.3,9.5,13.6,0.6970000000000001,5.5,18.2,29.891000000000002,20.4,41.3,50.062,16.8,23.5,72.643,0.1,8.6,0.6980000000000001,1.2,21.4,0.06100000000000001,13.6,0.0,66.7,78.1,26.4,37.0,14.7,27.0,8.9,18.1,14.1,13.3,1.119,8.8,24.9,35.533,18.5,37.5,49.46,14.7,21.3,69.652,0.4,7.6,0.5850000000000001,2.1,22.3,0.10900000000000001,13.3,0.0,73.9
80,86,2009-03-25,1,2,2008-2009,Assis,Brasília,78.5,24.9,33.8,19.8,28.9,7.2,21.7,10.8,13.2,0.9709999999999998,8.3,22.3,37.904999999999994,16.9,30.6,55.189,19.8,28.0,70.64,1.0,7.4,0.592,3.1,19.7,0.15699999999999997,13.2,0.0,79.6,91.7,23.4,46.4,21.9,34.9,8.5,26.4,16.0,15.9,1.082,7.8,22.1,35.065000000000005,23.2,38.6,60.734,21.9,28.8,74.96300000000001,2.1,7.8,0.528,5.0,22.9,0.229,15.9,0.0,102.9
96,83,2009-03-25,1,2,2008-2009,Minas,Paulistano,87.1,21.9,49.0,16.2,36.9,11.3,25.6,15.5,15.2,1.064,7.3,20.3,36.632999999999996,24.5,43.0,57.149,16.2,22.2,73.49699999999999,1.7,7.0,0.47400000000000003,3.4,18.8,0.192,15.2,0.0,97.2,74.2,20.7,39.6,13.9,31.5,10.9,20.6,13.2,16.4,0.8710000000000001,6.9,23.1,29.602999999999998,19.8,37.5,52.724000000000004,13.9,20.1,69.06,0.8,8.7,0.544,2.4,21.2,0.118,16.4,0.0,73.5
98,107,2009-03-25,1,2,2008-2009,Joinville,Limeira,78.8,25.8,39.0,14.0,37.0,9.1,27.9,15.7,13.7,1.183,8.6,24.5,35.59499999999999,19.5,37.0,52.153999999999996,14.0,21.3,66.473,2.0,9.3,0.6970000000000001,3.5,17.6,0.211,13.7,0.0,89.9,87.1,28.5,39.6,19.0,28.7,6.6,22.1,16.9,13.8,1.3239999999999998,9.5,23.4,40.678000000000004,19.8,37.2,53.797000000000004,19.0,25.0,75.611,2.8,9.4,0.6759999999999999,5.1,21.2,0.255,13.8,0.0,96.1
92,73,2009-03-25,1,2,2008-2009,Sesi Franca,Saldanha,88.1,21.9,48.8,17.4,33.1,10.6,22.5,17.8,13.3,1.4299999999999997,7.3,20.1,38.342000000000006,24.4,45.9,53.705,17.4,23.7,73.141,1.3,8.1,0.6330000000000001,2.2,24.3,0.09700000000000002,13.3,0.0,95.4,72.6,21.9,39.2,11.5,29.2,10.7,18.5,10.7,16.9,0.7100000000000001,7.3,20.9,34.67100000000001,19.6,41.4,48.367000000000004,11.5,19.8,59.043000000000006,3.2,10.1,0.596,1.5,23.2,0.06700000000000002,16.9,0.0,63.5
97,91,2009-03-25,1,2,2008-2009,Araraquara,Espírito Santo,76.7,27.6,35.8,13.3,29.4,6.6,22.8,18.0,15.3,1.2329999999999999,9.2,25.1,36.689,17.9,33.7,53.362,13.3,19.3,68.882,2.5,6.7,0.4640000000000001,4.3,20.6,0.21600000000000003,15.3,0.0,82.1,73.2,20.4,37.8,15.0,25.7,7.3,18.4,11.7,10.8,1.1560000000000001,6.8,20.9,32.554,18.9,36.9,52.068999999999996,15.0,21.9,70.6,0.3,5.8,0.577,1.5,21.7,0.073,10.8,0.0,68.1
105,71,2009-03-27,2,2,2008-2009,Flamengo,Paulistano,95.4,30.6,46.2,18.6,31.6,8.3,23.3,18.9,14.1,1.4549999999999998,10.2,23.7,43.156,23.1,39.3,58.261,18.6,23.2,80.45599999999999,2.5,9.7,0.738,1.4,19.8,0.067,14.1,0.0,108.6,75.3,19.8,40.6,14.9,32.2,11.1,21.1,12.8,17.2,0.8160000000000001,6.6,22.9,28.467000000000002,20.3,39.0,51.777,14.9,21.5,69.35,0.7,9.2,0.5509999999999999,2.7,21.5,0.129,17.2,0.0,73.4
100,97,2009-03-27,2,2,2008-2009,Bauru Basket,Brasília,77.4,24.9,39.0,13.5,29.1,7.6,21.5,13.5,12.4,1.3259999999999998,8.3,23.7,34.464999999999996,19.5,34.5,56.70200000000001,13.5,18.0,76.97200000000001,1.4,6.7,0.622,2.3,17.0,0.13299999999999998,12.4,0.0,81.7,89.9,24.9,43.2,21.8,35.5,8.0,27.5,15.7,16.5,0.9690000000000001,8.3,22.4,37.30199999999999,21.6,36.9,59.16700000000001,21.8,29.4,73.535,2.3,7.8,0.4959999999999999,4.8,23.2,0.219,16.5,0.0,100.2
91,70,2009-03-27,2,2,2008-2009,Minas,Pinheiros,88.2,22.5,49.0,16.7,35.9,11.2,24.7,15.4,15.6,1.0380000000000003,7.5,20.2,37.583,24.5,43.0,57.149,16.7,23.4,72.05999999999999,1.5,8.3,0.536,3.6,18.6,0.205,15.6,0.0,97.9,87.1,30.3,38.0,18.8,32.9,10.0,22.9,14.6,12.8,1.125,10.1,26.4,38.480999999999995,19.0,35.6,53.915,18.8,26.3,72.59400000000001,2.0,7.6,0.619,1.8,17.8,0.10800000000000001,12.8,0.0,90.8
83,79,2009-03-27,2,2,2008-2009,Joinville,Coop/São José Basketball,81.6,25.8,40.6,15.2,36.9,10.0,26.9,15.1,14.6,1.121,8.6,24.4,35.728,20.3,38.0,53.056,15.2,22.8,66.36300000000001,2.3,9.5,0.688,3.4,18.9,0.20400000000000001,14.6,0.0,90.8,76.9,26.7,36.0,14.2,26.5,8.6,17.9,13.6,12.9,1.1149999999999998,8.9,25.5,34.799,18.0,35.6,50.924,14.2,20.9,68.692,0.4,7.7,0.623,2.3,22.8,0.11900000000000002,12.9,0.0,73.2
82,87,2009-03-27,2,2,2008-2009,Lajeado,Limeira,74.7,19.8,38.0,16.9,27.5,9.2,18.3,9.7,12.9,0.7539999999999999,6.6,20.0,32.391000000000005,19.0,39.0,49.39300000000001,16.9,23.5,73.013,0.1,8.1,0.692,1.2,21.2,0.06100000000000001,12.9,0.0,68.3,87.0,26.4,41.4,19.2,29.0,6.7,22.3,16.5,14.0,1.2700000000000002,8.8,22.8,38.82600000000001,20.7,38.6,53.94599999999999,19.2,25.7,74.75400000000002,2.6,10.5,0.7470000000000001,4.7,21.3,0.23800000000000004,14.0,0.0,95.3
77,63,2009-03-27,2,2,2008-2009,Araraquara,Saldanha,77.4,28.8,35.8,12.8,29.6,7.1,22.5,17.8,17.0,1.119,9.6,25.3,37.839,17.9,33.6,53.55799999999999,12.8,19.4,66.049,2.6,7.2,0.433,3.9,21.5,0.195,17.0,0.0,80.9,74.9,22.2,41.2,11.5,29.2,11.0,18.2,11.9,17.3,0.756,7.4,20.7,35.398,20.6,40.8,51.324,11.5,19.7,59.49100000000001,3.7,9.6,0.5660000000000001,1.4,23.5,0.059,17.3,0.0,68.0
76,65,2009-03-30,4,2,2008-2009,Flamengo,Limeira,95.8,30.0,47.6,18.2,32.8,9.0,23.8,19.5,14.3,1.47,10.0,24.5,41.034,23.8,39.4,60.01800000000001,18.2,23.2,79.166,2.4,10.3,0.7739999999999999,1.2,18.8,0.06200000000000001,14.3,0.0,110.2,87.2,24.6,43.0,19.6,29.1,7.1,22.0,16.1,14.0,1.233,8.2,22.3,36.763999999999996,21.5,38.4,56.068000000000005,19.6,25.9,75.83200000000002,2.5,9.4,0.647,4.4,21.0,0.225,14.0,0.0,94.9
63,70,2009-04-01,3,2,2008-2009,Espírito Santo,Joinville,74.5,19.8,39.8,14.9,25.9,7.4,18.5,12.4,12.3,1.1360000000000001,6.6,20.9,31.683999999999997,19.9,37.4,53.846000000000004,14.9,21.4,71.167,0.5,6.7,0.5469999999999999,1.6,21.3,0.07899999999999999,12.3,0.0,70.5,80.6,26.1,39.0,15.5,35.6,9.8,25.8,14.9,14.2,1.1480000000000001,8.7,25.2,35.007,19.5,36.8,52.851,15.5,23.4,65.958,2.4,8.9,0.669,2.9,19.3,0.165,14.2,0.0,87.0
91,80,2009-04-01,3,2,2008-2009,Flamengo,Coop/São José Basketball,92.9,28.5,45.8,18.6,32.7,9.2,23.5,18.4,14.3,1.3920000000000001,9.5,25.0,38.394,22.9,38.1,59.76800000000001,18.6,23.6,79.484,2.4,9.8,0.7379999999999999,1.1,19.5,0.052000000000000005,14.3,0.0,104.9,76.4,26.1,36.2,14.1,28.0,8.8,19.2,13.1,13.5,1.0539999999999998,8.7,25.0,34.632,18.1,36.4,50.21,14.1,21.3,67.149,0.4,8.0,0.629,2.3,22.9,0.11900000000000002,13.5,0.0,72.5
94,85,2009-04-01,3,2,2008-2009,Brasília,Araraquara,89.3,24.6,42.6,22.1,33.6,7.2,26.4,15.5,16.1,0.982,8.2,21.7,38.492000000000004,21.3,35.6,60.397000000000006,22.1,29.5,74.27099999999999,2.2,7.4,0.48100000000000004,4.6,23.4,0.211,16.1,0.0,99.1,77.7,27.0,37.8,12.9,29.8,7.9,21.9,17.3,17.0,1.0879999999999999,9.0,24.7,36.146,18.9,34.8,54.665000000000006,12.9,19.3,66.91699999999999,2.1,8.0,0.483,3.7,21.1,0.195,17.0,0.0,81.5
